Similarity Score_105,Similarity Score_414,Similarity Score_417,Similarity Score_422,Similarity Score_430,Variance,Skewness,Kurtosis,Compactness,FD_Mag2,FD_Mag3,FD_Mag4,FD_Mag5,FD_Mag6,FD_Mag7,FD_Mag8,FD_Mag9,FD_Mag10,FD_Mag11,FD_Mag12,FD_Mag13,FD_Mag14,FD_Mag15,FD_Mag16,FD_Mag17,FD_Mag18,FD_Mag19,FD_Mag20,Label
90.80535839,94.45979004,88.92621559,94.21944153,91.9462077,9854.411,0.394271,2.677258,51.09887,0.378977554,0.014297594,0.038791661,0.004070365,0.00884037,0.002230088,0.004339226,0.000159549,0.001765449,0.001331117,0.001969647,0.00062574,0.001271895,0.000924946,0.000753808,0.000230523,0.001286921,0.000191351,0.000753995,RRII 105
81.61042818,78.07764361,70.68534284,78.09562541,75.6333249,3450.451,0.364529,1.922043,22.08652,0.281756943,0.012436504,0.021796884,0.003304433,0.004947458,0.001897111,0.004235425,0.001945197,0.002997755,0.000630845,0.002701101,0.000979703,0.001303691,0.000928629,0.000680683,0.000262595,0.001021774,0.000414068,0.000711611,RRII 105
87.25373268,84.90300186,78.43659639,85.39072402,83.2852046,4826.067,0.372231,1.86646,23.15383,0.32215715,0.008929248,0.022442841,0.003415419,0.00343213,0.002210381,0.004513718,0.002753547,0.00256241,0.001115139,0.002607944,0.000482266,0.001290216,0.001154515,0.001638868,0.00042017,0.000462101,0.000902618,0.000649435,RRII 105
90.63823773,96.36743285,96.85938189,97.49240073,97.3250523,9757.78,0.36869,1.855937,22.71907,0.44255584,0.020881529,0.036093966,0.002950257,0.006537256,0.00286017,0.004958675,0.001286969,0.001515989,0.002048216,0.002603583,0.000576366,0.001023927,0.001090433,0.001458037,0.001314314,0.000599259,0.001552674,0.001366582,RRII 105
88.92655195,96.08852089,91.43401454,95.03671638,91.9595848,10132.68,0.368693,1.857225,22.86458,0.427423811,0.017492742,0.036185707,0.003274418,0.0071084,0.003190533,0.00493143,0.001525903,0.001997442,0.001879257,0.002503955,0.000519929,0.00126429,0.001153904,0.001557107,0.00112718,0.000625625,0.001453244,0.001202021,RRII 105
89.36659896,91.70286979,85.83683461,91.81398021,89.7485751,5767.758,0.356497,1.862201,22.70879,0.34807458,0.020529972,0.026560131,0.003907043,0.006685319,0.001886724,0.003823595,0.001573987,0.002312555,0.000325649,0.001585833,0.001581739,0.00186361,0.00064163,0.000755318,0.000807696,0.001301101,0.000240784,0.000470734,RRII 105
90.28812352,96.88687932,93.83099045,96.61353588,94.6206916,10677.24,0.308305,1.799347,23.78205,0.440674403,0.018550819,0.039753679,0.001859011,0.006234075,0.004221508,0.003845201,0.000965034,0.001554255,0.002745768,0.001794761,0.000666991,0.001678901,0.001145537,0.001428963,0.000816679,0.001562142,0.000462737,0.001020016,RRII 105
89.93999256,93.63173684,87.89913894,93.45546215,91.1679244,7238.246,0.303517,1.804362,24.6952,0.355116597,0.022078616,0.029436501,0.001764251,0.007137353,0.003985539,0.004657647,0.001715321,0.001150286,0.002105677,0.00207097,0.000533293,0.001376936,0.000792314,0.002069852,9.79E-05,0.001428117,0.001104634,0.001051841,RRII 105
90.72367542,88.0399793,90.99174323,91.9212698,95.3593683,7397.315,0.307552,1.835744,22.68289,0.383860663,0.016864,0.031094401,0.003207551,0.007430678,0.00281867,0.002701595,0.003044093,0.002474639,0.00161538,0.001170909,0.001235483,0.000603115,0.001257428,0.001171012,0.000347847,0.000921902,0.00042437,0.000614465,RRII 105
86.36147174,87.01585801,78.98910654,86.38322627,82.7747389,6540.177,0.358399,1.848528,25.3331,0.326559863,0.013744457,0.024970686,0.004076367,0.006237416,0.003389617,0.004152727,0.00055531,0.002591439,0.001478209,0.001897443,0.001396917,0.00221513,0.000426162,0.001047687,0.000370584,0.001477938,0.000595419,0.000676133,RRII 105
85.62248448,80.99770616,75.75718942,82.47129767,81.1559008,3325.565,0.394805,1.913084,20.13684,0.298410292,0.017876263,0.02331093,0.004293275,0.004775698,0.00179633,0.002269066,0.00082631,0.002109266,0.000736001,0.001047696,0.001025744,0.001678024,0.000153362,0.00075811,0.000837653,0.001550696,0.000180103,0.000806771,RRII 105
78.16750151,75.5223452,67.36685024,74.76319622,71.4095414,3800.212,0.390228,1.850252,23.20226,0.286322389,0.009890256,0.021326717,0.002785442,0.004332533,0.001263402,0.002564454,0.001434357,0.001745796,0.000851957,0.002013927,0.000528776,0.001764419,0.000705409,0.001942546,0.000581357,0.001185339,0.000600196,0.000804985,RRII 105
89.17803822,89.39806187,83.99709021,90.18845648,88.858992,4146.782,0.365194,1.891035,20.56094,0.335922046,0.013253283,0.028216436,0.000377575,0.004085792,0.002117457,0.00485548,0.000470495,0.001418907,0.000111983,0.002122197,4.13E-05,0.000970713,0.000260932,0.000937629,0.000218957,0.00062988,0.000841256,0.001065505,RRII 105
85.63654021,84.04428774,77.80938591,84.43934976,82.634087,3584.255,0.356026,1.838905,21.65744,0.29498909,0.016161965,0.02375522,0.002973671,0.004124413,0.003162542,0.002604925,0.001315572,0.001229048,0.00149057,0.002347171,0.000339234,0.001040132,0.000746022,0.002025135,0.000533165,0.000846355,0.000301922,0.001084506,RRII 105
78.81343261,79.51466878,71.43861256,77.92660937,74.4109255,6633.161,0.633294,2.350351,80.02905,0.327280109,0.017181724,0.024727666,0.001544455,0.006494524,0.003001513,0.003969854,0.000556482,0.000643368,0.001757094,0.001332866,0.000747915,0.000804153,0.000656553,0.001156714,0.00068293,0.001184213,0.000286202,0.00062796,RRII 105
86.5278499,81.41216753,79.00173846,84.05139772,84.6718372,3822.408,0.263608,1.867643,20.72978,0.309010574,0.017882574,0.028314558,0.000558282,0.006938012,0.002169618,0.002485046,0.002356439,0.000697108,0.00093919,0.001928605,0.000472214,0.00082204,0.000385857,0.001447979,0.000344444,0.00069339,0.000462836,0.00107178,RRII 105
93.22828369,95.44462128,93.36609448,97.29705845,97.2667536,7436.501,0.30403,1.793035,23.21966,0.385000117,0.015783497,0.033804056,0.002930891,0.006082611,0.003020381,0.004248257,0.002144201,0.0013303,0.001984538,0.001779896,0.0005271,0.000800674,0.001193202,0.001812342,0.000464156,0.001112027,0.000985509,0.001080521,RRII 105
59.80943026,61.28029902,65.94527006,62.78943731,65.4979303,2818.674,-0.44449,2.188465,48.8629,0.427183726,0.014868776,0.034431814,0.001610651,0.010461649,0.005257106,0.005187099,0.000523752,0.004726743,0.000730596,0.00217252,0.001562686,0.000962642,0.0006939,0.001402302,0.001396549,0.000950707,0.000312354,0.001493661,RRII 105
89.17924399,91.92740085,96.85924425,94.52714972,97.1265122,9811.939,0.362126,1.813712,22.46392,0.457491585,0.014211845,0.0416761,0.003919038,0.012580994,0.001776496,0.00453554,0.001993311,0.003609215,0.001871692,0.000415354,0.001643655,0.001192705,0.000573827,0.001490109,0.001183055,0.000345758,0.000790418,0.001275447,RRII 105
38.54530876,37.42019869,26.76224136,35.99534001,30.0172259,2736.293,0.269914,2.11934,59.57484,0.296032093,0.010643607,0.025871972,0.001010543,0.006601624,0.002886262,0.002578557,0.001217554,0.001194299,0.001248711,0.0007963,0.000818295,0.001563952,0.000584698,0.00088644,0.000693743,0.001005493,9.98E-05,0.000403775,RRII 105
93.21490517,93.91676452,93.79754768,96.60056208,97.8645453,6964.534,0.310105,1.860438,21.51625,0.414338912,0.031785342,0.030171144,0.007793997,0.008504968,0.003603169,0.001621276,0.002986794,0.002249359,0.000639976,0.001415463,0.001574902,0.00165591,0.001326036,0.001056942,0.000715738,0.000328078,0.000623197,0.00117634,RRII 105
86.43123042,87.97064991,94.82224454,90.92843055,94.6066501,12298.04,0.217013,1.74622,25.65406,0.464032525,0.024431984,0.044738625,0.005777235,0.00921109,0.003995654,0.002079472,0.003523475,0.003250093,0.001673101,0.001251375,0.00208548,0.001415889,0.000724369,0.002027821,0.000673855,0.001084072,0.001045527,0.001272168,RRII 105
91.46545407,90.1906667,92.77019935,93.91030698,97.0152356,7162.061,0.352971,1.841903,22.06569,0.406111223,0.012361817,0.032935813,0.001940764,0.009385197,0.003202086,0.000977496,0.002675929,0.002817153,0.000675592,0.002877884,0.000473934,0.002662219,0.001065128,0.001492978,0.000448216,0.000693752,0.001091041,0.001051455,RRII 105
91.1400903,93.35148558,90.15745842,94.62385315,94.4201243,5418.488,0.360902,1.826769,20.59539,0.395933761,0.018000486,0.028766021,0.000718994,0.005300971,0.002114275,0.002790113,0.002295866,0.001850543,0.000428633,0.001390255,0.001581775,0.001810135,0.000933545,0.000360145,0.001418825,0.001337833,0.000809795,0.000322814,RRII 105
92.29815255,91.39807578,89.16950342,93.91795392,94.4491223,6149.507,0.335332,1.855024,32.37702,0.34948044,0.010000604,0.027063749,0.003915512,0.00655361,0.00384773,0.002531304,0.00052178,0.003369464,0.001124358,0.002802689,0.000815621,0.002511269,0.000931584,0.000922482,0.000459216,0.001220773,0.000563734,0.001032816,RRII 105
91.00412588,95.64291,91.89484844,96.05107847,94.6400775,7748.349,0.274633,1.75446,22.89329,0.412619513,0.022061902,0.033170783,0.004761695,0.006267018,0.005668593,0.00411787,0.001838389,0.000392864,0.001992548,0.002166724,0.000284661,0.001894888,0.001294202,0.002594981,0.000788471,0.000836229,0.001320552,0.001737534,RRII 105
82.59445339,82.42423091,80.83071688,83.17736211,83.5570871,8278.837,0.6025,2.797797,177.3868,0.372621234,0.015629211,0.030772725,0.004036045,0.00690697,0.001518186,0.004403882,0.001772219,0.002213787,0.001125717,0.00370707,0.000897094,0.001588459,0.00075717,0.001610384,0.000229685,0.00049604,0.000740806,0.001086123,RRII 105
93.09383339,93.65676942,91.53692455,95.83964271,96.1615271,7486.249,0.301788,1.77906,23.83346,0.372082735,0.020070372,0.032436877,0.005425527,0.008227655,0.002209775,0.004051031,0.001945275,0.002374423,0.001305657,0.001684133,0.000844346,0.001784468,0.000801152,0.000990336,0.000817067,0.001241217,0.000279787,0.00027311,RRII 105
87.2939233,87.91607887,94.21879162,90.93286529,95.5111941,7861.417,0.32276,1.786391,22.56772,0.429235901,0.026677295,0.035259415,0.002155857,0.011107713,0.003232893,0.003551809,0.001769393,0.002195544,0.002005767,0.000783016,0.001972809,0.001738611,0.000241558,0.000931218,0.000719218,0.000689354,0.000467197,0.001411182,RRII 105
89.63526597,95.31892673,96.89063403,96.46143289,96.7764698,9008.792,0.379453,1.899311,22.33622,0.456842488,0.021640889,0.036869421,0.003981111,0.00578028,0.002112793,0.005549765,0.00212878,0.003922276,0.001015074,0.00260574,0.000966319,0.001356566,0.001345062,0.00109741,0.000534847,0.001195052,0.00097167,0.000459334,RRII 105
